{'loss': 2.0623, 'learning_rate': 0.00016666666666666666, 'epoch': 0.02}
{'loss': 1.6141, 'learning_rate': 0.0003333333333333333, 'epoch': 0.04}
{'loss': 2.0558, 'learning_rate': 0.0005, 'epoch': 0.06}
{'loss': 1.5091, 'learning_rate': 0.0004999813216674332, 'epoch': 0.08}
{'loss': 1.418, 'learning_rate': 0.0004999252894607734, 'epoch': 0.09}
{'loss': 1.03, 'learning_rate': 0.0004998319117527263, 'epoch': 0.11}
{'loss': 0.7774, 'learning_rate': 0.0004997012024964111, 'epoch': 0.13}
{'loss': 0.7024, 'learning_rate': 0.0004995331812232751, 'epoch': 0.15}
{'loss': 0.5826, 'learning_rate': 0.0004993278730401763, 'epoch': 0.17}
{'loss': 0.617, 'learning_rate': 0.0004990853086256309, 'epoch': 0.19}
{'loss': 0.3665, 'learning_rate': 0.0004988055242252294, 'epoch': 0.21}
{'loss': 0.3225, 'learning_rate': 0.0004984885616462201, 'epoch': 0.23}
{'loss': 0.2263, 'learning_rate': 0.000498134468251263, 'epoch': 0.25}
{'loss': 0.2976, 'learning_rate': 0.0004977432969513513, 'epoch': 0.27}
{'loss': 0.1194, 'learning_rate': 0.0004973151061979065, 'epoch': 0.28}
{'loss': 0.4481, 'learning_rate': 0.0004968499599740427, 'epoch': 0.3}
{'loss': 0.1397, 'learning_rate': 0.0004963479277850067, 'epoch': 0.32}
{'loss': 0.2857, 'learning_rate': 0.0004958090846477921, 'epoch': 0.34}
{'loss': 0.1211, 'learning_rate': 0.0004952335110799294, 'epoch': 0.36}
{'loss': 0.1369, 'learning_rate': 0.0004946212930874549, 'epoch': 0.38}
{'loss': 0.1936, 'learning_rate': 0.0004939725221520585, 'epoch': 0.4}
{'loss': 0.0598, 'learning_rate': 0.0004932872952174148, 'epoch': 0.42}
{'loss': 0.0544, 'learning_rate': 0.0004925657146746961, 'epoch': 0.44}
{'loss': 0.1265, 'learning_rate': 0.0004918078883472733, 'epoch': 0.45}
{'loss': 0.1066, 'learning_rate': 0.0004910139294746037, 'epoch': 0.47}
{'loss': 0.1514, 'learning_rate': 0.0004901839566953105, 'epoch': 0.49}
{'loss': 0.2002, 'learning_rate': 0.0004893180940294541, 'epoch': 0.51}
{'loss': 0.1094, 'learning_rate': 0.0004884164708600014, 'epoch': 0.53}
{'loss': 0.1738, 'learning_rate': 0.00048747922191349157, 'epoch': 0.55}
{'loss': 0.0631, 'learning_rate': 0.0004865064872399048, 'epoch': 0.57}
{'loss': 0.0181, 'learning_rate': 0.00048549841219173485, 'epoch': 0.59}
{'loss': 0.0241, 'learning_rate': 0.00048445514740226987, 'epoch': 0.61}
{'loss': 0.2056, 'learning_rate': 0.00048337684876308335, 'epoch': 0.63}
{'loss': 0.0824, 'learning_rate': 0.00048226367740073997, 'epoch': 0.64}
{'loss': 0.0136, 'learning_rate': 0.0004811157996527191, 'epoch': 0.66}
{'loss': 0.0114, 'learning_rate': 0.0004799333870425593, 'epoch': 0.68}
{'loss': 0.0091, 'learning_rate': 0.0004787166162542281, 'epoch': 0.7}
{'loss': 0.0252, 'learning_rate': 0.0004774656691057213, 'epoch': 0.72}
{'loss': 0.0186, 'learning_rate': 0.00047618073252189377, 'epoch': 0.74}
{'loss': 0.2392, 'learning_rate': 0.00047486199850652804, 'epoch': 0.76}
{'loss': 0.021, 'learning_rate': 0.00047350966411364434, 'epoch': 0.78}
{'loss': 0.037, 'learning_rate': 0.0004721239314180549, 'epoch': 0.8}
{'loss': 0.0066, 'learning_rate': 0.00047070500748516865, 'epoch': 0.82}
{'loss': 0.0761, 'learning_rate': 0.00046925310434005064, 'epoch': 0.83}
{'loss': 0.0026, 'learning_rate': 0.0004677684389357392, 'epoch': 0.85}
{'loss': 0.0283, 'learning_rate': 0.00046625123312082765, 'epoch': 0.87}
{'loss': 0.0684, 'learning_rate': 0.0004647017136063143, 'epoch': 0.89}
{'loss': 0.159, 'learning_rate': 0.0004631201119317257, 'epoch': 0.91}
{'loss': 0.0076, 'learning_rate': 0.0004615066644305183, 'epoch': 0.93}
{'loss': 0.0651, 'learning_rate': 0.00045986161219476417, 'epoch': 0.95}
{'loss': 0.0135, 'learning_rate': 0.0004581852010391253, 'epoch': 0.97}
{'loss': 0.0032, 'learning_rate': 0.0004564776814641224, 'epoch': 0.99}
{'loss': 0.0143, 'learning_rate': 0.00045473930861870325, 'epoch': 1.0}
{'loss': 0.0212, 'learning_rate': 0.0004529703422621171, 'epoch': 1.02}
{'loss': 0.0186, 'learning_rate': 0.000451171046725099, 'epoch': 1.04}
{'loss': 0.0153, 'learning_rate': 0.0004493416908703725, 'epoch': 1.06}
{'loss': 0.0176, 'learning_rate': 0.0004474825480524739, 'epoch': 1.08}
{'loss': 0.0054, 'learning_rate': 0.0004455938960769058, 'epoch': 1.1}
{'loss': 0.0097, 'learning_rate': 0.00044367601715862597, 'epoch': 1.12}
{'loss': 0.0057, 'learning_rate': 0.00044172919787987646, 'epoch': 1.14}
{'loss': 0.0166, 'learning_rate': 0.0004397537291473607, 'epoch': 1.16}
{'loss': 0.0103, 'learning_rate': 0.0004377499061487744, 'epoch': 1.18}
{'loss': 0.0041, 'learning_rate': 0.00043571802830869656, 'epoch': 1.19}
